siteid,station name,station contry,total samples,imbalance degree,weight factor,f1,recall,precision,f2,roc_auc,accuracy,log_loss
415637,AT0ZOE2,Austria,3891,2.5829,2.5829,0.7886,0.8192,0.7603,0.8067,0.9498,0.8777,0.2708
415639,ZARRA,Spain,5035,1.3705,1.3705,0.8595,0.8983,0.8238,0.8824,0.9555,0.8761,0.2703
415641,Stolzalpe bei Murau,Austria,4108,2.3507,2.3507,0.8161,0.8922,0.7521,0.8601,0.9473,0.8802,0.285
415642,Peyrusse Vieille,France,5251,5.5311,2,0.7169,0.6866,0.75,0.6984,0.9423,0.917,0.208
415643,Harwell - UKA00047,United Kingdom of Great Britain and Northern Ireland,9228,11.5722,4,0.6357,0.6685,0.6059,0.655,0.9512,0.9389,0.1493
415644,Kollumerwaard,Netherlands,7445,10.7429,2,0.5993,0.5786,0.6216,0.5867,0.9468,0.9339,0.1626
415645,Voss,Norway,3695,10.4043,10.4043,0.6193,0.7531,0.5259,0.6932,0.9429,0.9188,0.2022
415646,Westerland,Germany,9045,6.1053,3,0.6551,0.7107,0.6075,0.6873,0.9319,0.8948,0.2362
415648,Rottenburg,Germany,2002,2.9025,2.9025,0.8296,0.875,0.7887,0.8563,0.9672,0.9082,0.2152
415650,Råö,Sweden,4312,8.8223,8.8223,0.6444,0.7,0.5969,0.6766,0.9408,0.9212,0.189
415651,Ladybower - UKA00171,United Kingdom of Great Britain and Northern Ireland,7150,21.4843,3,0.5679,0.575,0.561,0.5721,0.9633,0.9609,0.0955
415652,Market Harborough - UKA00463,United Kingdom of Great Britain and Northern Ireland,2186,16.2126,3,0.6667,0.625,0.7143,0.641,0.9497,0.9634,0.1131
415654,AT30502,Austria,7616,2.7966,2.7966,0.8079,0.7804,0.8373,0.7912,0.9635,0.9023,0.2594
415655,Ueckermünde,Germany,4096,6.0499,4,0.7331,0.7862,0.6867,0.7641,0.9541,0.9189,0.1945
415656,Tustervatn,Norway,7287,16.9483,4,0.6154,0.6337,0.5981,0.6262,0.9544,0.9561,0.1185
415657,Meinerzhagen,Germany,2944,7.6082,3,0.7848,0.7209,0.8611,0.7452,0.9795,0.9539,0.1694
415658,O SAVIÑAO,Spain,4428,7.6824,3,0.6109,0.6614,0.5676,0.6402,0.9382,0.9033,0.2217
415659,"""Starina - Vodna nadr. EMEP/O3""",Slovakia,5888,3.9814,3.9814,0.682,0.75,0.6254,0.7212,0.9267,0.8595,0.2931
415660,Stixneusiedl,Austria,7586,2.3083,2.3083,0.837,0.8502,0.8243,0.8449,0.966,0.8998,0.2372
415661,Grebenzen bei St. Lamprecht,Austria,3024,1.7416,1.7416,0.8194,0.8551,0.7867,0.8405,0.9387,0.8624,0.3152
415662,Iraty,France,2556,1.3689,1.3689,0.8168,0.8259,0.808,0.8223,0.9328,0.8438,0.3295
415663,ELS TORMS,Spain,4820,1.7079,1.7079,0.8328,0.8674,0.8008,0.8532,0.94,0.8715,0.3071
415664,SAN PABLO DE LOS MONTES,Spain,4332,1.6018,1.6018,0.8371,0.8993,0.7829,0.8733,0.9442,0.8653,0.296
415666,Beromünster,Switzerland,292,2.2444,2.2444,0.7308,0.8636,0.6333,0.8051,0.9037,0.8082,0.3813
415668,Donon,France,6378,3.1741,3.1741,0.7921,0.788,0.7963,0.7896,0.9511,0.9009,0.3616
415670,Jeløya,Norway,4925,8.5077,4,0.6061,0.6202,0.5926,0.6144,0.9189,0.9156,0.2086
415673,Frederiksborg,Denmark,3243,13.6081,2,0.5962,0.5536,0.6458,0.5699,0.9435,0.9482,0.1442
415674,Tänikon,Switzerland,8300,3.429,3.429,0.8029,0.8294,0.778,0.8186,0.9628,0.908,0.2219
415675,CAMPISÁBALOS,Spain,5148,2.3407,2.3407,0.7727,0.7948,0.7518,0.7858,0.9367,0.8601,0.3218
415680,Farkasfa,Hungary,246,8.1111,8.1111,0.5333,0.5714,0.5,0.5556,0.8805,0.8871,0.3187
415681,Vavihill,Sweden,7840,7.5217,3,0.6902,0.7217,0.6614,0.7088,0.9591,0.924,0.1709
415683,Vredepeel,Netherlands,7940,7.152,3,0.8049,0.8066,0.8033,0.8059,0.9746,0.9522,0.1372
415684,Keldsnor,Denmark,4401,12.6677,3,0.568,0.5926,0.5455,0.5825,0.9468,0.9337,0.1484
415685,Mt Cimone,Italy,5764,0.4169,0.4169,0.9398,0.9361,0.9436,0.9376,0.9686,0.9154,0.263
415687,Lazaropole,North Macedonia,2155,0.1649,0.1649,0.9583,0.9676,0.9492,0.9639,0.9354,0.9276,0.2469
415688,High Muffles - UKA00169,United Kingdom of Great Britain and Northern Ireland,7966,12.9754,2,0.6091,0.5211,0.7327,0.5531,0.9419,0.9523,0.1617
415689,Finokalia,Greece,1929,0.7011,0.7011,0.8956,0.8908,0.9004,0.8927,0.9347,0.8778,0.4402
415691,Risco Llamo,Spain,1842,1.0908,1.0908,0.8811,0.905,0.8584,0.8953,0.953,0.8829,0.578
415692,CABO DE CREUS,Spain,4980,1.836,1.836,0.8322,0.8588,0.8073,0.848,0.9487,0.878,0.2797
415693,Weybourne - UKA00433,United Kingdom of Great Britain and Northern Ireland,4445,7.2011,2,0.5977,0.5735,0.624,0.583,0.9301,0.9056,0.2104
415695,Hohenpeissenberg,Germany,10115,1.9768,1.9768,0.805,0.8282,0.7831,0.8188,0.9415,0.8652,0.294
415697,Zillertaler Alpen,Austria,5851,1.1401,1.1401,0.8397,0.8421,0.8372,0.8411,0.9269,0.8496,0.364
415698,Churanov,Czech Republic,3530,3.3688,3.3688,0.7689,0.7822,0.756,0.7768,0.9468,0.8924,0.26
415699,Prestebakke,Norway,8768,15.5434,4,0.6484,0.6288,0.6694,0.6365,0.9605,0.959,0.1106
415701,Narberth - UKA00323,United Kingdom of Great Britain and Northern Ireland,4638,18.4874,18.4874,0.5954,0.661,0.5417,0.6331,0.9258,0.9543,0.1301
